pob,año,id_ent,id_mun,mun
37194.790009,2015,13,59,Tecozautla
50238.396874,2011,14,30,Chapala
49160.693639,2017,27,15,Tacotalpa
8542.8732067,2015,16,59,Nuevo Urecho
14023.8543189,2028,15,89,Tenango del Aire
1453.23464351,2010,20,34,Guadalupe de Ramírez
21413.3140226,2018,17,22,Tetela del Volcán
2663.1733319,2028,14,56,Santa María del Oro
135.918203329,2018,20,488,Santiago Tepetlapa
1611.2730996,2026,20,173,San Juan Atepec
1310.79791943,2018,20,221,San Juan Teposcolula
12925.2043606,2024,29,1,Amaxac de Guerrero
4839.5843095,2015,8,44,Matamoros
17937.729151,2028,16,67,Penjamillo
724386.22172,2019,5,35,Torreón
21577.7339883,2016,21,90,Juan C. Bonilla
42871.087232,2014,25,8,Elota
107660.934056,2026,17,8,Emiliano Zapata
48890.367933,2025,20,2,Acatlán de Pérez Figueroa
13229.2276551,2028,30,52,Cuichapa
4133.497815,2026,20,271,San Miguel Mixtepec
4284.2610794,2030,20,133,San Esteban Atatlahuca
19375.8862949,2026,30,31,Carrillo Puerto
6592.2319529,2015,20,294,San Pablo Huitzo
23205.50631,2019,25,16,San Ignacio
2336.04857288,2021,20,167,San José del Peñasco
23872.362784,2016,11,22,Ocampo
3207.9804588,2012,20,454,Santiago Atitlán
2564.6963039,2029,26,40,Nácori Chico
2593.53129952,2020,20,33,Guadalupe Etla
19588.722974,2010,24,22,Moctezuma
1955.1695432,2024,26,11,Bacoachi
32848.384099,2024,24,57,Matlapa
21807.476298,2012,10,38,Vicente Guerrero
8215.3236629,2026,15,77,San Simón de Guerrero
28239.543027,2028,24,17,Guadalcázar
1660.84666949,2022,20,236,San Marcial Ozolotepec
3173.4647678,2017,8,22,Dr. Belisario Domínguez
456.59977903,2010,20,443,Santa María Yavesía
19549.0518272,2011,7,14,El Bosque
2138.2478603,2014,20,336,San Pedro Yólox
11292.8659136,2022,12,72,Zapotitlán Tablas
22847.68719,2020,6,4,Coquimatlán
8154.0337197,2022,21,148,Santa Isabel Cholula
25236.540725,2024,16,103,Venustiano Carranza
6468.0065467,2026,20,560,Villa Díaz Ordaz
37922.8733616,2015,22,8,Huimilpan
2974.5917289,2011,31,46,Mama
10857.9912672,2025,20,483,Santiago Suchilquitongo
3214.7750482,2013,8,43,Matachí
16966.4332554,2013,20,350,San Sebastián Tutla
2681.43543152,2024,20,104,San Antonino el Alto
2297.12996169,2017,30,41,Coetzala
45912.829435,2025,30,130,Playa Vicente
14673.2722695,2013,29,14,Hueyotlipan
812.79227612,2014,19,35,Melchor Ocampo
4145.7719662,2011,21,123,San Felipe Tepatlán
127235.698096,2010,18,20,Bahía de Banderas
